,Report No.,Report Date,Sent to Manufacturer / Importer / Private Labeler,Publication Date,Category of Submitter,Product Description,Product Category,Product Sub Category,Product Type,Product Code,Manufacturer / Importer / Private Labeler Name,Brand,Model Name or Number,Serial Number,UPC,Date Manufactured,Manufacturer Date Code,Retailer,Retailer State,Purchase Date,Purchase Date Is Estimate,Incident Description,City,State,ZIP,Location,(Primary) Victim Severity,(Primary) Victim's Gender,My Relation To The (Primary) Victim,(Primary) Victim's Age (years),Submitter Has Product,Product Was Damaged Before Incident,Damage Description,Damage Repaired,Product Was Modified Before Incident,Have You Contacted The Manufacturer,If Not Do You Plan To,Answer Explanation,Company Comments,Associated Report Numbers,candidate_brand,specifiers,label
25978,20130705-EBF12-2147454526,7/5/2013,7/15/2013,7/29/2013,Consumer,IKEA SUNDVIK Crib,Baby,Nursery Equipment & Supplies,Nonportable Cribs (1543),1543,"IKEA North America Services, LLC",SUNDVIK,SUNDVIK,002.107.86,,2/6/2012,,IKEA,Maryland,5/25/2012,,"IKEA Sundvik Crib.  My son has been using this crib to sleep in every night and most days for naps since he was about 3 months old, so for about 9 months now.  A few weeks ago I noticed that the bottom part of the crib, the part that the mattress sits on, is bowing down in the middle, so badly that there is almost a gap under the bottom rail of the crib (the crib is in the lowest position).  The reason for this is a decidedly poor design, in that the entire board is only attached to the crib frame at the four corners.  there is absolutely no support at the middle of the crib.  somehow this is supposed to be sturdy enough for a crib mattress and an average sized (22 pound) infant, but apparently it isn't.

Bottom Line, I am returning the crib; there was no injury, but it looks like with continued use, this crib could absolutely break, allowing the child to fall or get trapped between the board and the bottom of the rail.",Essex,Maryland,21221,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,0,Yes,No,,,No,Yes,,"Planned on returning it this weekend, upon manufacturer's request.","(7/18/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['SUNDVIK', 'IKEA North America Services, LLC']","['SUNDVIK', 'IKEA', '22']",0
26023,20130705-D4EFA-2147454528,7/5/2013,7/12/2013,7/26/2013,Consumer,Low voltage transformer,Home Maintenance and Structures,Electrical Systems,Electric Wire or Wiring Systems (Excl Panelboards Recept (4062),4062,"IKEA North America Services, LLC",Ikea,SO303,,,,,Ikea,,5/1/2010,Yes,Overheating and burning of a low voltage lighting transformer,East Boston,Massachusetts,2128,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,No,,,,Yes,,I have contacted IKEA,"(7/18/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Ikea', 'IKEA North America Services, LLC']",[],0
26056,20130624-D4806-2147454916,6/24/2013,7/2/2013,7/24/2013,Consumer,Ikea glass desk with flowers and butterflies - black color.,"Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",Ikea,,,,,,Ikea,North Carolina,6/12/2011,,"at 4:45 am while I was sleeping downstairs, my black ikea glass desk top with flowers and butterflies spontaneously exploded.",Apex,North Carolina,27502,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Unspecified,,Yes,No,,,No,No,Yes,,"(7/11/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Ikea', 'IKEA North America Services, LLC']",['45'],0
26092,20130623-FBB8B-2147454926,6/23/2013,7/1/2013,7/23/2013,Consumer,LATT children's table and two chairs from Ikea.,"Furniture, Furnishings & Decorations",Furniture,"Chairs, Other or Not Specified (4074)",4074,"IKEA North America Services, LLC",Ikea,LATT,,,,,Ikea,Texas,5/19/2013,Yes,"My daughter (age 18 months) got her head stuck in the back of a chair from an Ikea table and chair set called ""LATT.""  She's fine except the livid red mark on her forehead.",,Unspecified,,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Female,My Child,1,Yes,No,,,No,No,No,"I will likely keep it, but I won't let her play alone with it in the future, due to the risk.","(7/11/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Ikea', 'IKEA North America Services, LLC']","['LATT.', '18', 'LATT']",0
26183,20130614-05668-2147455246,6/14/2013,6/24/2013,7/16/2013,Consumer,Metal frame with tempered glass top made by Ikea.,"Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",I don't know,,,,,,,,,,"Our company has several Ikea glass desks in our office. During off hours, one of the desks shattered without anything or anyone causing it to shatter. No one was injured. We have done some research online and have found that this has happened before with Ikea glass desks.",Atlanta,Georgia,30338,Other,Unspecified,Unspecified,Unspecified,,Yes,,,,No,No,Yes,,"(6/25/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"[""I don't know"", 'IKEA North America Services, LLC']",[],0
26368,20130610-41EDA-2147455327,6/10/2013,6/18/2013,7/2/2013,Consumer,"Ikea Hemnes 6 dresser chest
http://www.ikea.com/us/en/catalog/products/50067168/","Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",Ikea,Hemnes,500.671.68,,,,"Ikea, Twin Cities",Minnesota,4/6/2013,Yes,"Ikea Hemnes 6 drawer chest
Link to item: http://www.ikea.com/us/en/catalog/products/50067168/

My husband and I purchased this item in April 2013 for use in my 3 & 4 year old children's bedroom. We paid $249 + tax for this dresser. This evening, when my 3 year old son when getting clothes out of the dresser, an entire drawer came off from the dresser and pinned him down. He was in shock and crying, until we came running to lift the drawer from his mid-section. Luckily, he wasn't injured. The Hemnes dresser is unsafe and not fit for use. It is a nice looking dresser, but is completely worthless.",Plymouth,Minnesota,55447,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,3,Yes,No,,,No,Yes,,Emailed Ikea regarding product.,"(6/20/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Ikea', 'IKEA North America Services, LLC']","['50067168', '249', '2013']",0
26495,20130523-1BC66-2147455844,5/23/2013,5/31/2013,6/21/2013,Consumer,IKEA VIKA GLASHOLM glass desktop with floral pattern,"Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",IKEA VIKA GLASHOLM ,,,,,,IKEA - Conshohoken,Pennsylvania,7/30/2011,,"We purchased two IKEA VIKA GLASHOLM glass desktops in July 2011. Today, May 23, 2013 we arrived at our office to find one of them completely shattered all over the room. Some pieces were as far away as 12ft!

Fortunately we were not in our office when it happened. We can only imagine the injury that could have occurred if one of us was at the desk or even in the room at the time!",Bloomsburg,Pennsylvania,17815,Other Public Property/Office,"Incident, No Injury",Unknown,Unspecified,,Yes,No,,,No,Yes,,IKEA advised us to email their customer care department but they have not responded at all.,"(6/4/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['IKEA VIKA GLASHOLM ', 'IKEA North America Services, LLC']","['VIKA', 'GLASHOLM', '23', 'IKEA', '2011.', '2013', '12ft']",0
26876,20130424-38D4A-2147456665,4/24/2013,5/2/2013,5/23/2013,Consumer,Ikea Hemnes queen size bed frames,"Furniture, Furnishings & Decorations","Bedroom, Bedding & Bath","Beds or Bedframes, Other or Not Specified (4076)",4076,"IKEA North America Services, LLC",Ikea,Hemnes,,,,,Ikea by phone,,4/6/2013,Yes,"I bought 2 Ikea queen sized Hemnes bed frames.
The headboards and foot boards came pre-assembled, while the rest of the bed needed to be assembled
On one headboard, the wood was so badly split and damaged that I didn't put the bed together.
Though the other one wasnt perfect, it didn't seem to be badly damaged.
I assembled the bed and put the mattress and box spring on the frame. During the night one of the dowels on the headboard seem to have cracked. the panel on the bed crashed down and the mattress fell.
If there was a young child playing on or near the bed, he or she could have been injured.
This product is dangerous.",Margate,New Jersey,8402,Home/Apartment/Condominium,Unspecified,Unspecified,Unspecified,,Yes,Yes,,No,No,Yes,,"One frame was visibly damaged before the incident, the other seemed to have only minor issues. I still have the product. Ikea is supposed to call me back to arrange to have the bed picked up, after i disassemble it ","(5/6/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Ikea', 'IKEA North America Services, LLC']",[],0
26934,20130427-2035F-2147456601,4/27/2013,5/6/2013,5/20/2013,Consumer,"VYSSA SPELEVINK crib mattress from IKEA. I washed the lining of the mattress, as instructed, and it shrunk. Resulting on a mattress that is 1.5 inches shorter in the crib. This is a product defect and a safety hazard. I can't be the only person to wash the mattress lining, why else would it be removeable with care instructions for washing provided. Now the mattress is ruined because I'm not putting my baby in a crib that has a 1.5 gap.",Baby,Nursery Equipment & Supplies,Baby Mattresses or Pads (1542),1542,"IKEA North America Services, LLC",IKEA,VYSSA SPELEVINK; Article Number: 801.528.67,,,,,Ikea Stoughton,Massachusetts,3/3/2013,,"We bought a crib mattress from IKEA (Stoughton, MA), VYSSA SPELEVINK. We washed the outer lining in cold water and tumble dry low. The lining shrunk. After squeezing the mattress back into the lining,  we have a 1.5 inch gap in the crib now. This is a product defect and a safety hazard. Why must the lining shrink causing the mattress as a whole to be smaller than it was when purchased? I can't be the only person who washes the mattress lining. If it wasn't meant to be washed, it shouldn't be removeable with washing instructions, which I followed.",Cambridge,Unspecified,2141,Home/Apartment/Condominium,"Incident, No Injury",Unknown,Unspecified,,Yes,No,,,No,Yes,,I called the store and they told me I can't return it. But that is not the point! Don't know who else to talk to. ,"(5/6/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['IKEA', 'IKEA North America Services, LLC']","['SPELEVINK', 'IKEA', '1.5', 'MA', 'VYSSA', 'SPELEVINK.', 'IKEA.']",0
27166,20130310-03C67-2147458005,3/10/2013,3/18/2013,5/1/2013,Consumer,Ikea Vika Glasholm table with 4 legs,"Furniture, Furnishings & Decorations",Furniture,"Tables (Excl.  Baby Changing Tables, Billiard or Pool Tables (4057)",4057,"IKEA North America Services, LLC",Vika Glasholm with Adils legs,999.037.74,,,,,Ikea Conshohocken,,11/25/2012,,"The IKEA Vika glass table shattered in our basement office. No one was in the room at the time. The table had 2 computer speakers and a mouse pad on the top of the table. The shattered table sent glass pieces throughout the room. My son had a slight injury (Cut hand) while he was trying to clean up the mess.

This type of table should not spontaneously explode sending glass pieces about the room. I am lucky that my teenage son was not at the table at the time it exploded.",Allentown,Pennsylvania,18104,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Male,My Child,15,Yes,No,,,No,Yes,,I have contacted the manufacturer to let them know that they have a safety issue with this table. I haven't received an adequete response as of today. I have the broken glass a legs in a garbage can in my garage,"(3/25/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Vika Glasholm with Adils legs', 'IKEA North America Services, LLC']",['IKEA'],0
27177,20130409-D9808-2147457159,4/9/2013,4/17/2013,5/1/2013,Consumer,"Ikea Galant glass kidney shaped desk.  Item number  098.726.30
http://www.ikea.com/us/en/catalog/products/S09872630/","Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",,Galant 098.726.30,,,,,Ikea,,11/24/2012,Yes,"Purchased the desk in Nov 2012.  The desk has had normal usage since then.  There were no incidents of dropping items on the desk and no visible or known cracks or chips.  Upon entering my office on 4/9/13, I found the desk shattered into hundreds of pieces.",Castle Rock,Colorado,80108,Home/Apartment/Condominium,"Incident, No Injury",Female,Self,36,Yes,No,,,No,No,Yes,,"(4/22/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"[nan, 'IKEA North America Services, LLC']","['2012.', '13', '098.726.30', 'S09872630']",0
27555,20130304-86540-2147458239,3/4/2013,3/13/2013,4/3/2013,Consumer,"Polypropylene child's potty. The area of concern is the very rigid, very narrow ridge that projects vertically up the back of the potty to prevent the child from falling off.",Baby,Nursery Equipment & Supplies,Potty Chairs or Training Seats (1535),1535,"IKEA North America Services, LLC",Ikea,Lattsam,,,,,,,,,"This Ikea potty has a very narrow plastic ridge which is not sharp, but is very rigid. My toddler tripped and fell directly onto this ridge, landing on his forehead and causing significant bleeding requiring consultation with a physician. In my view, the ridge on the potty is unnecessarily narrow and rigid and represents a safety hazard that could easily be removed with thoughtful re-design. 

It does not appear that these potties are available for sale by Ikea any longer, but a picture of this product can be seen here: http://www.apartmenttherapy.com/ikea-lattsam-potty-140648

The potties now on sale at Ikea do appear to have a more rounded, safer shape. It would be reasonable to ask Ikea to voluntarily recall the Lattsam potty and to replace it with the newer Lilla potty.",Seattle,Washington,,Home/Apartment/Condominium,"Injury, Seen by Medical Professional",Male,My Child,1,Yes,No,,,No,No,,,"(3/15/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Ikea', 'IKEA North America Services, LLC']",['140648'],0
27689,20130225-2359E-2147458456,2/25/2013,3/7/2013,3/28/2013,Consumer,Ikea Galant Black Glass table top,"Furniture, Furnishings & Decorations",Furniture,"Tables (Excl.  Baby Changing Tables, Billiard or Pool Tables (4057)",4057,"IKEA North America Services, LLC",Ikea,Galant 898.612.08,,,,,Ikea online,,2/13/2013,,2 Glass tops on desk shattered/exploded at the same time. Assembly was just finished and was moving them.,Raleigh,North Carolina,27605,Other,"Injury, No First Aid or Medical Attention Received",Male,Self,35,No,No,,,No,Yes,,They are not concerned,"(3/12/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Ikea', 'IKEA North America Services, LLC']",[],0
27710,20130303-EE8F6-2147458287,3/3/2013,3/13/2013,3/27/2013,Consumer,"Tempered glass closet door made by Hopen, Ikea approx 90"" tall.",Home Maintenance and Structures,Doors & Windows,Glass Doors or Doors With Glass Panels (1892),1892,"IKEA North America Services, LLC",Ikea,10511,,,,,Ikea,,1/1/2009,Yes,One of my tempered glass closet doors purchased from Ikea spontaneously shattered. There was glass every where. ,St Albans,New York,11412,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,No,No,,,No,Yes,,I cannot produce proof of purchase even after I explained that I had a house fire in 2010 and alot of my receipts and documents were destroyed in the fire. They will not help me and I also explained that this door has been discontinued& is a set of 4drs,"(3/18/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Ikea', 'IKEA North America Services, LLC']",['90'],0
27873,20130218-E37D0-2147458698,2/18/2013,2/26/2013,3/20/2013,Consumer,Ikea White glass top desk,"Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",Ikea,,,,,,Ikea,,,,We have had 2 Ikea white glass top desks just shatter for no reason when no one was in the office. Today was the second time we have come in after the weekend to find glass all over the floor and computer equipment on the ground except this time it was a $3000 [REDACTED] laying in the floor with a broken screen. These desks need to be pulled because of the Chinese tempered glass can not be trusted. I thought Ikea should be good stuff but it is just costly China garbage.,Spartanburg,South Carolina,29306,Other Public Property/Office,"Incident, No Injury",Unspecified,Unspecified,,Yes,No,,,No,No,,The glass is in a bag and the frame is still in the office,"(3/5/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Ikea', 'IKEA North America Services, LLC']","['3000', 'REDACTED']",0
28221,20130206-981F8-2147459040,2/6/2013,2/14/2013,3/1/2013,Consumer,Tempered Glass desk top,"Furniture, Furnishings & Decorations",Furniture,"Tables (Excl.  Baby Changing Tables, Billiard or Pool Tables (4057)",4057,"IKEA North America Services, LLC",Galant,"GALANT Desk 63"" by 31 1/2 "" model # 598.387.52",,,,,Ikea,,8/26/2009,,"My IKEA Galant tempered glass desk top exploded into a million pieces in my home office last night.  Thankfully no one was in the office.  The only objects on the table were my laptop, a desk lamp, and two folders.",chapel hill,North Carolina,27514,Home/Apartment/Condominium,"Incident, No Injury",Unspecified,Unspecified,,Yes,,,,,Yes,,"I was told the only way to get a refund I would have to go to Charlotte with my proof of damage, purchase, and 10 year warranty.","(2/21/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Galant', 'IKEA North America Services, LLC']",['IKEA'],0
29007,20121218-055FB-2147460941,12/18/2012,1/8/2013,1/30/2013,Consumer,Ikea Hemnes Dresser,"Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",Hemnes Dresser,,,,,,Ikea,,11/6/2012,,"We purchased the Ikea Hemnes dresser in gray brown.  We put it together this weekend and left the windows open to air out the room after we noticed a strong smell associated with it.  The smell dissipates if we leave the windows open, but it is December so that is not possible.  We are using the dresser in our 19 month old's room, and he has not slept well in the room since we put the dresser in there because the fumes are so strong.  This morning, he woke up with a bloody nose.  I love the dresser but am worried about the safety for my son.",Dalton ,Georgia,30721,Home/Apartment/Condominium,"Injury, Level of care not known",Male,My Child,1,Yes,No,,,No,No,Yes,,"(1/11/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Hemnes Dresser', 'IKEA North America Services, LLC']",['19'],0
29086,20121220-CEFD0-2147460892,12/20/2012,1/4/2013,1/28/2013,Consumer,"IKEA product name: VIKA GLASHOLM - glass desk top, clear and black with flowers and butterflys","Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",IKEA,VIKA GLASHOLM,,,,,IKEA,,6/10/2011,Yes,"I recently had a glass desk top from IKEA in Frisco explode spontaneously in my home showering the room and hallway with glass. While luckily no one was in the house at the time, the store now refuses to give us a refund since the product was more than 90 days old. I am very disappointed with both the danger that this product could pose and the customer service of the company. I took pictures after the incident if they are needed.",Honey Grove,Texas,75446,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Female,My Parent,51,Yes,No,,,No,Yes,,I put the shattered glass in a box to retain in case it was neccessary for some reason. The manufacturer refuses to provide a refund since we have had the item over 90 days.,"(1/8/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['IKEA', 'IKEA North America Services, LLC']","['VIKA', 'IKEA', 'GLASHOLM', '90']",0
29303,20121205-2DF8A-2147461301,12/5/2012,12/28/2012,1/14/2013,Consumer,"about a 9"" frying pan/skillet with a plastic handle",Kitchen,Cookware & Tableware,"Cookware, Not Specified (466)",466,"IKEA North America Services, LLC",Ikea,Ikea Item #21610,none,'none,,,Ikea,California,11/27/2012,,"Last week I bought a small skillet at Ikea in Emeryville, CA. Upon using it for the first time, the plastic handle stated to smoke and was about to catch fire.  The heat was set to medium and there was oil in the pan. The oil, however, had not stated to smoke.  There are now burn makes on the handle.  The pan # is 21610 and was made for Ikea in China.   I contacted Ikea about this incident but they seemed not to care as no questions were asked.",Stockton,California,95212,Home/Apartment/Condominium,"Incident, No Injury",Male,Self,66,Yes,No,,,No,Yes,,I called Ikeas today.  They did not seem to care as they did not ask for details,"(1/8/2013) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Ikea', 'IKEA North America Services, LLC']","['21610', 'CA.']",0
29478,20121122-35F62-2147461689,11/22/2012,12/12/2012,1/7/2013,Consumer,"Ikea Malm queen bed frame assembled with mattress and coverings


MODEL 10973 ? 
SERIAL AA-75286-12 ? (# given on assembly instructions) 
listed in catalog as 
398.935.70","Furniture, Furnishings & Decorations","Bedroom, Bedding & Bath","Beds or Bedframes, Other or Not Specified (4076)",4076,"IKEA North America Services, LLC",ikea Malm,Malm black queen size MODEL 10973,AA-75286-12,,,,ikea,,10/10/2012,,"Elderly woman age 80 fell upon end of frame, fracturing 6 ribs and lung puncture. Requires treatment at trauma center. Treatment requires a chest tube and pain treatment in addition to respiratory therapy.",Austin,Texas,78759,Home/Apartment/Condominium,"Injury, Hospital Admission",Female,Other Relative,80,Yes,No,,,No,No,No,,"(12/20/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.
(1/4/2013) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['ikea Malm', 'IKEA North America Services, LLC']","['10973', 'MODEL', 'AA-75286-12', '80', 'SERIAL', '398.935.70']",0
29955,20121019-158FE-2147462717,10/19/2012,10/31/2012,11/23/2012,Consumer,SUNDVIK Crib from Ikea,Baby,Nursery Equipment & Supplies,Nonportable Cribs (1543),1543,"IKEA North America Services, LLC",SUNDVIK / IKEA,Sundvik,,,,,"Ikea, Costa Mesa",,5/1/2012,,"My ten month old's knee was caught between the crib slats.  Her crib has the new smaller spacing between the slats per the new crb regulations. This has happened four times in the last month, with the worst and most recent incident happening today,  10/19/12.  She was screaming in pain so loud.   She was left with two large bruises on each side of her knee.   I think the smaller spacing between the slats is dangerous.  When her knee gets caught and she falls onto her mattress, her leg could snap.  Many parent forums online are reporting the same exact incident, with the new crib slat spacing regulations. My daughter's crib is the Sundvick crib from Ikea.",Laguna Niguel,California,92677,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Female,My Child,0,,,,,,Yes,,I want to ask them for a refund,"(11/1/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['SUNDVIK / IKEA', 'IKEA North America Services, LLC']","['19', 'SUNDVIK', '10', '12.']",0
29956,20121023-AF3A3-2147462620,10/23/2012,10/31/2012,11/23/2012,Consumer,Bastis hooks ($2.99) each Article Number: 600.953.21,"Furniture, Furnishings & Decorations",Home Decoration,"Drapery or Curtain Rods, Hooks or Rings (4055)",4055,"IKEA North America Services, LLC",Ikea,,,,,,Ikea,Illinois,5/1/2011,,"I purchased 3 of your Bastis hooks ($2.99) each Article Number: 600.953.21 from your Schaumburg Illinois store about 1 and a half years ago.  We used them in our 1 years old son's room and found the hooks dangerous.  We installed 3 of them low enough he could grab them.  He was able to pull them off the wall and pull out a plastic insert inside the hook (used to hang it to the wall) and put it in his mouth.  He did this with 2 of the 3 hooks.  We're very disturbed by the quality of this product and the fact that it comes apart so easily and poses such a risk to children.  After fishing both of the plastic parts from our son's mouth we threw away all 3 of the hooks.  It seems like a huge liability risk on IKEA's part do not design the product so this cannot come apart.

Any product that is clearly marketed towards children (like this) should have a warning label or disclaimer about the possibility of becoming a choking hazard.  We've purchased many products from IKEA in the past but will be much more careful about what we purchase from you in the future.",Ozark,Missouri,65721,Home/Apartment/Condominium,"Injury, No First Aid or Medical Attention Received",Male,My Child,1,Yes,No,,No,No,Yes,,Manufacturer never responded to my email,"(11/5/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['Ikea', 'IKEA North America Services, LLC']","['IKEA', '600.953.21', '2.99']",0
30145,20121008-0B913-2147463041,10/8/2012,10/16/2012,11/6/2012,Consumer,Glass desktop from Ikea. About 4' long and 3' wide. Black and clear glass. Made in China.,"Furniture, Furnishings & Decorations",Furniture,"Desks, Chests, Bureaus or Buffets (604)",604,"IKEA North America Services, LLC",,I don' tknow,,,,,Ikea,Minnesota,3/4/2012,Yes,"A glass deck top from Ikea shattered with no warning. This happened at 3:00am, no one was around it. The desk was left shards of glass all over my office.",Apple Valley,Minnesota,55124,Home/Apartment/Condominium,"Incident, No Injury",Male,Unspecified,,No,No,,,No,No,,,"(10/19/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",20121011-DA748-2147462925,"[nan, 'IKEA North America Services, LLC']",['00am'],0
30230,20120815-258CE-1266409,8/15/2012,10/11/2012,11/1/2012,Consumer,3-in-1 crib turns into a toddler bed,Baby,Nursery Equipment & Supplies,Nonportable Cribs (1543),1543,"IKEA North America Services, LLC",Ikea Gulliver,Gulliver,401.188.18 (15333),'Unknown ,,,Ikea,Oregon,1/1/2010,Yes,"The consumer stated that earlier in the morning she heard her 20 month old (28 pounds) daughter and she went to check on her. The consumer stated that she found that her daughters left leg was stuck in between the slats up to her thighs. 

The consumer stated that it took her approximately 5 minutes to remove her leg. She stated that she had to rotate her daughters body and use lotion to remove her leg from in between the slats. The consumer stated that the slats are 2 apart from each other. The consumer stated that she suffered bruising around her thigh. The consumer stated that she put ice and ointment to treat the bruise. 

The consumer stated that she had experienced this incident before, but not this extreme. The consumer stated that she will be contacting the manufacturer to file a report.",Portland,Oregon,97231,Home/Apartment/Condominium,"Injury, First Aid Received by Non-Medical Professional",Female,My Child,1,Yes,No,,,No,No,Yes,,"(10/16/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['Ikea Gulliver', 'IKEA North America Services, LLC']","['28', '20']",0
30323,20120927-5A6BA-2147463373,9/27/2012,10/5/2012,10/29/2012,Consumer,It was a VIKA GLASHOLM from IKEA. It's a floral pattern glass table top.,"Furniture, Furnishings & Decorations",Furniture,"Tables (Excl.  Baby Changing Tables, Billiard or Pool Tables (4057)",4057,"IKEA North America Services, LLC",IKEA,VIKA GLASHOLM,,,,,Ikea,,1/8/2011,,"I purchased a glass table top and desk legs from IKEA roughly a year and 9 months ago. When I came home from work I found that the desk had non metaphorically exploded. The desk had shattered into thousands of tiny pieces and glass was everywhere. It happened in a 5 hour window between lunch and when I returned home from work that evening. The only objects on the desk were an LCD monitor(which is now broken), a set of speakers(not heavy ones), mouse ,keyboard, and random papers. There was nothing above the desk so I am sure no object fell on it. The desk was not scratched or damaged in any way that I was aware of. My entire living room is now covered in small shards of glass. The carpet is full of glass as well as some chairs and a few pairs of shoes.  There was an inflatable work out ball beside the desk that was punctured by the explosion. It seems as though if I had been at the desk at the time of the explosion I very likely would have been injured in some way and at least absolutely terrified.",Champaign,Illinois,61820,Home/Apartment/Condominium,"Incident, No Injury",Male,Self,31,,No,,,No,No,Yes,I plan to inform IKEA of this incident.,"(10/5/2012) IKEA North America Services, LLC: Thank you for the information. Please contact IKEA customer service at (610) 834-0180.",,"['IKEA', 'IKEA North America Services, LLC']","['VIKA', 'LCD', 'GLASHOLM', 'IKEA', 'IKEA.']",0
30759,20120905-55E56-2147464036,9/5/2012,9/13/2012,10/4/2012,Consumer,KURA reversible wooden bed. http://www.ikea.com/us/en/catalog/products/10123996/,"Furniture, Furnishings & Decorations","Bedroom, Bedding & Bath","Beds or Bedframes, Other or Not Specified (4076)",4076,"IKEA North America Services, LLC",KURA,,,,,,,,,,The wooden slat from a KURA bed from IKEA have come unglued.  This has resulted in making the bed unsafe for a child to sleep in as there is a potential that additional slats could come unglued causing the bed to crash to the floor. ,,Unspecified,,Home/Apartment/Condominium,"Incident, No Injury",Male,My Child,10,Yes,No,,,No,Yes,,"I have contacted the manufacturer of the bed, and am waiting to hear a response from them.","(9/14/2012) IKEA North America Services, LLC: Thank you for the information. We understand that you have contacted IKEA previously. IKEA Customer Service will contact you shortly.",,"['KURA', 'IKEA North America Services, LLC']","['IKEA', '10123996', 'KURA']",0
